"volume","sizeindex","species","xleft","ybottom","xright","ytop"
"100",195.796095,"corymbia_maculata",102,0,150,600
"100",118.26854,"elaeocarpus_reticulatus",102,0,150,600
"100",47.7609,"waterhousea_floribunda",102,0,150,600
"100",181.226425,"acer_freemanii_autumnblaze",102,0,150,600
"100",109.5168,"hibiscus_tiliaceus_rubra",102,0,150,600
"100",51.59512,"agonis_flexuosa",102,0,150,600
"100",74.90836,"carallia_brachiata",102,0,150,600
"100",84.915,"waterhousea_floribunda",102,0,150,600
"100",124.25247,"lagerstroemia_indica_natchez",102,0,150,600
"100",110.89848,"carallia_brachiata",102,0,150,600
"100",137.4516,"magnolia_grandiflora_littlegem",102,0,150,600
"100",116.453685,"corymbia_maculata",102,0,150,600
"100",49.7202,"magnolia_grandiflora_littlegem",102,0,150,600
"100",54.7191,"waterhousea_floribunda",102,0,150,600
"100",131.58782,"acer_freemanii_autumnblaze",102,0,150,600
"100",65.77379,"magnolia_grandiflora_littlegem",102,0,150,600
"100",125.45,"pistacia_chinensis",102,0,150,600
"100",67.725875,"olea_europaea",102,0,150,600
"100",226.724795,"corymbia_maculata",102,0,150,600
"100",244.00299,"araucaria_heterophylla",102,0,150,600
"100",98.08104,"carallia_brachiata",102,0,150,600
"100",114.625725,"corymbia_maculata",102,0,150,600
"100",148.84277,"corymbia_maculata",102,0,150,600
"100",219.63612,"brachychiton_acerifolius_bellapink",102,0,150,600
"100",84.6659,"melia_azedarach_caroline",102,0,150,600
"100",133.211355,"pyrus_calleryana_chanticleer",102,0,150,600
"100",88.59254,"hibiscus_tiliaceus_rubra",102,0,150,600
"100",41.868505,"waterhousea_floribunda",102,0,150,600
"100",78.395665,"peltophorum_pterocarpum",102,0,150,600
"100",93.651095,"angophora_costata",102,0,150,600
"100",191.990715,"cupaniopsis_anacardioides",102,0,150,600
"100",75.08723,"olea_europaea_tolleysupright",102,0,150,600
"100",144.39856,"jacaranda_mimosifolia",102,0,150,600
"100",112.309175,"jacaranda_mimosifolia",102,0,150,600
"100",190.97565,"angophora_costata",102,0,150,600
"100",180.26777,"angophora_costata",102,0,150,600
"100",265.96245,"brachychiton_acerifolius",102,0,150,600
"100",88.1552,"ulmus_parvifolia_todd",102,0,150,600
"100",160.8348,"angophora_costata",102,0,150,600
"100",97.33104,"acer_freemanii",102,0,150,600
"100",93.14448,"syzygium_armstrongii",102,0,150,600
"100",67.4289,"syzygium_armstrongii",102,0,150,600
"100",90.165625,"peltophorum_pterocarpum",102,0,150,600
"100",157.58847,"eucalyptus_saligna",102,0,150,600
"100",56.7171,"callistemon_kingsparkspecial",102,0,150,600
"100",83.3112,"magnolia_grandiflora_littlegem",102,0,150,600
"100",105.17628,"hibiscus_tiliaceus_rubra",102,0,150,600
"100",143.73837,"jacaranda_mimosifolia",102,0,150,600
"100",150.39605,"corymbia_maculata",102,0,150,600
"100",155.151835,"allosyncarpia_ternata",102,0,150,600
"100",165.90231,"jacaranda_mimosifolia",102,0,150,600
"100",152.753965,"delonix_regia",102,0,150,600
"100",143.129665,"jacaranda_mimosifolia",102,0,150,600
"100",62.618805,"magnolia_grandiflora_littlegem",102,0,150,600
"100",57.92624,"banksia_integrifolia",102,0,150,600
"100",100.02266,"delonix_regia",102,0,150,600
"100",208.190385,"brachychiton_acerifolius_bellapink",102,0,150,600
"100",158.1615,"eucalyptus_sideroxylon_rosea",102,0,150,600
"100",95.523245,"pyrus_calleryana_chanticleer",102,0,150,600
"100",81.97653,"peltophorum_pterocarpum",102,0,150,600
"100",116.081185,"ganophyllum_falcatum",102,0,150,600
"100",174.60914,"jacaranda_mimosifolia",102,0,150,600
"100",75.4083,"olea_europaea_tolleysupright",102,0,150,600
"100",148.14904,"jacaranda_mimosifolia",102,0,150,600
"100",158.84379,"lophostemon_confertus",102,0,150,600
"100",135.635375,"syzygium_armstrongii",102,0,150,600
