"nursery","species","genus_species","volume","climate_region","origin","leaf_type","calliper300.mean","rcd.mean","height_m.mean","sizeindex.mean","calliper300.se","rcd.se","height_m.se","sizeindex.se","longitude","latitude","tmean_1","tmean_2","tmean_3","tmean_4","tmean_5","tmean_6","tmean_7","tmean_8","tmean_9","tmean_10","tmean_11","tmean_12","prec_1","prec_2","prec_3","prec_4","prec_5","prec_6","prec_7","prec_8","prec_9","prec_10","prec_11","prec_12","MAT","MAP"
"alpine","olea_europaea","olea_europaea",100,"New South Wales","non-native","evergreen",30.60975,38.6595,2.5034,76.762716,0.609735110195619,0.683936352455787,0.0297793994496019,2.09713533777573,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","eucalyptus_sideroxylon","eucalyptus_sideroxylon",25,"New South Wales","native","evergreen",25.264,35.255,2.102,53.9317033333333,1.76295390642821,2.39998268842963,0.0795235814082842,5.03138324692521,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","banksia_integrifolia","banksia_integrifolia",75,"New South Wales","native","evergreen",49.4936363636364,73.8918181818182,2.98436363636364,148.864823636364,1.92487733858421,2.68280469528772,0.128820895589558,10.8407135543267,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","waterhousea_floribunda","waterhousea_floribunda",75,"New South Wales","native","evergreen",33.7792857142857,50.2642857142857,2.03328571428571,68.3669692857143,1.57268591473141,1.10191036957869,0.0807717873558154,3.36490491448255,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","brachychiton_acerifolius","brachychiton_acerifolius",45,"New South Wales","native","deciduous",43.6979411764706,57.1385294117647,2.138,95.2263420588235,1.85857324206157,2.32787886143418,0.0910634878726343,7.23076214984467,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","araucaria_heterophylla","araucaria_heterophylla",45,"New South Wales","native","evergreen",37.9317647058824,41.5676470588235,2.56164705882353,97.2874402941176,0.534461648664087,0.634384706191619,0.0496929499361469,2.63610958116973,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","araucaria_heterophylla","araucaria_heterophylla",100,"New South Wales","native","evergreen",45.8205,54.08125,3.44295,157.8601065,1.04287904253965,0.68948740256039,0.0483729195119052,4.53137856979062,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","brachychiton_acerifolius","brachychiton_acerifolius",100,"New South Wales","native","deciduous",61.0447058823529,71.8314705882353,4.02017647058824,245.629581764706,1.76168892844987,1.67461709652765,0.0492836355203612,8.06721963314204,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","corymbia_maculata","corymbia_maculata",1000,"New South Wales","native","evergreen",109.636333333333,127.746,6.5702,722.153727333333,2.10965509856958,2.86236815874382,0.159275568329442,26.4221556018645,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","magnolia_grandiflora_exmouth","magnolia_grandiflora",400,"New South Wales","non-native","evergreen",78.2283333333333,99.135,3.84133333333333,300.77891,0.896912915381299,2.63322204406186,0.155676302342749,15.5106549305125,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
